,posted,neighborhood,post title,number bedrooms,sqft,URL,price,lat
0,2022-05-22 09:45," (2711 Ellendale Place, Los Angeles, CA)","On-Site Maintenance, Off Street Parking, Microwave",1,650.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-on-site-maintenance-off/7484532673.html,"2,275","['34.029400', '-118.287100']"
1,2022-05-22 09:45," (930 Figuroa Terrace, Los Angeles, CA)","Expansive Sundecks, Private Balconies/Patios, Double Master Suites",1,579.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-expansive-sundecks-private/7484944118.html,"2,172","['34.061400', '-118.238500']"
2,2022-05-22 09:42, (Koreatown),260 S. Mariposa,1,675.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-260-mariposa/7483765476.html,"1,575","['34.076200', '-118.302900']"
3,2022-05-22 09:42," (1026 S Broadway, Los Angeles, CA)","Designer Floor Plans, All Stainless Steel Appliances, Refrigerator",1,730.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-designer-floor-plans-all/7477623623.html,"2,717","['34.043400', '-118.271600']"
4,2022-05-22 09:41," (Eagle Rock, Highland Park)","Ground Level Unit w/Balcony, $2 Parking, Gated, Retrofitted, Pool",,450.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-ground-level-unit-balcony/7486900664.html,"1,465","['34.124808', '-118.222006']"
5,2022-05-22 09:41, (Downtown LA),"1 Bedroom in Downtown LA, Full-Size W/D, Gym, 1 MONTH FREE",1,750.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-in-downtown-la-full/7486900521.html,"2,695","['34.039575', '-118.263797']"
6,2022-05-22 09:41," (East Hollywood, Los Feliz, Silver Lake)","Fully Equipped Unit w/$ 2 Parking | Water, Gas, Trash Paid",2,700.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-fully-equipped-unit-parking/7486900381.html,"1,995","['34.094509', '-118.290132']"
7,2022-05-22 09:41, (West Hollywood),W/D in Unit | A/C | Hardwood Floors | 2 Bedroom in West Hollywood,2,1000.0,https://losangeles.craigslist.org/lac/apa/d/west-hollywood-d-in-unit-c-hardwood/7486900360.html,"3,895","['34.096303', '-118.369111']"
8,2022-05-22 09:41, (Los Feliz),Two Level 3 Br Townhouse Style Home with $2 Parking in Prime Los Feliz,3,1200.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-two-level-br-townhouse/7486900300.html,"2,795","['34.101809', '-118.288196']"
9,2022-05-22 09:40, (Little Tokyo),"Tranquil pool and spa, Fireside courtyard lounge, Electronic key entry",2,1093.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-tranquil-pool-and-spa/7486900190.html,"3,767","['34.050085', '-118.242885']"
