,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon
0,2022-05-21 20:48, (Canoga park),Room for rent brand new renovation,1,,https://losangeles.craigslist.org/sfv/apa/d/canoga-park-room-for-rent-brand-new/7485745558.html,,"[None, None]"
1,2022-05-21 20:29, (Woodland Hills),Beautiful Loft Style 1x1 for May Move-ins,1,717.0,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-beautiful-loft-style-1x1/7480038860.html,"2,510","[None, None]"
2,2022-05-21 20:28," (18414 W. Jakes Way, Canyon Country, CA)","Lounging and Sunbathing Areas, Picnic Areas, Acres of Open Spaces",2,919.0,https://losangeles.craigslist.org/sfv/apa/d/canyon-country-lounging-and-sunbathing/7485904724.html,"2,400","[None, None]"
3,2022-05-21 20:25, (OPEN HOUSE DAILY 10-5 | Northridge),NORTHRIDGE 2 Bedroom - Close to CSUN - Clubhouse - Central A/C,2,1044.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-northridge-bedroom-close-to/7479614017.html,"2,505","[None, None]"
4,2022-05-21 20:24, (Sherman Oaks / South of Ventura Blvd),South of the Blvd ^ Pool ^ 1 Bedroom With Loft in Sherman Oaks,1,850.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-south-of-the-blvd-pool/7486764729.html,"2,595","[None, None]"
5,2022-05-21 20:24, (Near Ventura Blvd),1 Bedroom 1 BA in Encino | BBQ | Gym | Heated Pool | Spa | W/D in Unit,1,965.0,https://losangeles.craigslist.org/sfv/apa/d/encino-bedroom-ba-in-encino-bbq-gym/7481916645.html,"2,395","[None, None]"
6,2022-05-21 20:24, (Sherman Oaks 91335),Pool | Pet-Friendly | Picnic Area With BBQ | Studio in Reseda,,429.0,https://losangeles.craigslist.org/sfv/apa/d/reseda-pool-pet-friendly-picnic-area/7483348548.html,"1,790","[None, None]"
7,2022-05-21 20:24, (North Hills 91343),2 Bedroom in North Hills with Balcony++ Laminate Flooring++ Call Now,2,1100.0,https://losangeles.craigslist.org/sfv/apa/d/north-hills-bedroom-in-north-hills-with/7483348400.html,"2,200","[None, None]"
8,2022-05-21 20:23, (Northridge / Close to CSUN),Plank Flooring | Pool | Quartz | 1 Bedroom in Northridge,1,850.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-plank-flooring-pool-quartz/7479517122.html,"1,850","[None, None]"
9,2022-05-21 20:23, (Van Nuys 91405),Plank Floors | Pool | Air Conditioning | 1 Bed 1 BA in Prime Van Nuys,1,700.0,https://losangeles.craigslist.org/sfv/apa/d/playa-vista-plank-floors-pool-air/7483145458.html,"1,950","[None, None]"
10,2022-05-21 20:23, (South of Ventura Boulevard),2 Bedroom in Sherman Oaks + Controlled Access + F/P + Ceiling Fans,2,750.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-bedroom-in-sherman-oaks/7480498662.html,"2,395","[None, None]"
11,2022-05-21 20:23, (South of Ventura Boulevard),Hardwood Floors + Studio W/ Sep. Sleeping Area in Sherman Oaks + F/P,,,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-hardwood-floors-studio-sep/7482985909.html,"1,995","[None, None]"
12,2022-05-21 20:22, (Reseda/Northridge),Walk-in Closet *Quartz *Gym *A/C *Jr 1 Bedroom in Reseda/Northridge,,575.0,https://losangeles.craigslist.org/sfv/apa/d/reseda-walk-in-closet-quartz-gym-c-jr/7477429684.html,"1,625","[None, None]"
