,posted,neighborhood,post title,number bedrooms,sqft,URL,price
0,2022-05-23 08:42," (930 Figuroa Terrace, Los Angeles, CA)","Double Master Suites, Designer Granite Countertops, Expansive Sundecks",2,842.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-double-master-suites/7482949432.html,"2,625"
1,2022-05-23 08:42, (Hollywood),Love Your Part In This Hollywood Studio! Carlton Way,,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-love-your-part-in-this/7487251081.html,"1,650"
2,2022-05-23 08:40," (1026 S Broadway, Los Angeles, CA)","Satellite Ready, Stainless Steel Sink with Pull-out Faucet, Pantry",1,692.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-satellite-ready-stainless/7478074684.html,"2,493"
3,2022-05-23 08:38, (Los Angeles),One Bedroom Apartment across MacArthur Park Los Angeles,1,850.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-one-bedroom-apartment/7487259362.html,"1,995"
4,2022-05-23 08:36, (East hollywood),"Remodeled One Bedroom, One Bath, Charming East hollywood area",1,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-remodeled-one-bedroom-one/7487258144.html,"1,925"
5,2022-05-23 08:33," (Echo Park, Hipster Heaven)",Studio Duplex w/ washer dryer,,450.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-studio-duplex-washer-dryer/7485041396.html,"1,795"
6,2022-05-23 08:32," (909 Willow Avenue, La Puente)",Pool Access Condo  2bed -2bath,2,,https://losangeles.craigslist.org/lac/apa/d/la-puente-pool-access-condo-2bed-2bath/7480695456.html,"1,600"
7,2022-05-23 08:30, (849 s. oxford ave),Spacious NY !! Studio 1 bath prime koreatown area,,500.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-spacious-ny-studio-bath/7487254685.html,"1,575"
8,2022-05-23 08:30," (Hollywood Hills, West Hollywood, Hollywood)",1 + 1  AMAZING LUXURY RENOVATED UNIT NEXT TO RUNYON (Hollywood Hills),1,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-amazing-luxury-renovated/7487254606.html,"2,025"
9,2022-05-23 08:25," (550 N. Figueroa st., Los Angeles, CA)","EV Chargers, Outdoor Putting Green, Karaoke Lounge",2,943.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-ev-chargers-outdoor-putting/7480033915.html,"3,025"
10,2022-05-23 08:25, (Downtown Los Angeles),Comfy Private Room with Private Bathroom Available,2,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-comfy-private-room-with/7487247828.html,"1,200"
11,2022-05-23 08:24," (5910 Orange Ave, Apt.# D, Long Beach, CA 90805)",Open House - Will work with bad credit - 1 br/ 1 ba,1,,https://losangeles.craigslist.org/lac/apa/d/long-beach-open-house-will-work-with/7487251132.html,"1,750"
12,2022-05-23 08:18," (101 Bridewell St, Los Angeles, CA)","Courtesy Patrol, Breakfast Bar, Quality Kitchen Appliance Package",2,830.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-courtesy-patrol-breakfast/7481587385.html,"2,510"
13,2022-05-23 08:12," (1221 W. 3rd St. , Los Angeles, CA)",Live the Downtown Life without the Downtown Prices.,2,979.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-live-the-downtown-life/7477160565.html,"2,666"
14,2022-05-23 08:10, (Canyon Country),Give Yourself Space At Your Next Place! Whites Canyon Rd.,2,,https://losangeles.craigslist.org/lac/apa/d/canyon-country-give-yourself-space-at/7487239390.html,"2,485"
15,2022-05-23 08:10, (Koreatown),Have The Loveliest Summer In ONE To Love! Ardmore,1,,https://losangeles.craigslist.org/lac/apa/d/los-angeles-have-the-loveliest-summer/7487234962.html,"1,900"
16,2022-05-23 08:07, (STUDIO CITY),"STUDIO CITY,2BDROOM 2BTHS, PRKNG  CTRLAIR DSH WSHR",2,875.0,https://losangeles.craigslist.org/lac/apa/d/north-hollywood-studio-city2bdroom/7478761365.html,
17,2022-05-23 08:05, (central LA 213/323),House for rent,1,,https://losangeles.craigslist.org/lac/apa/d/huntington-park-house-for-rent/7485330507.html,
18,2022-05-23 08:04, (central LA 213/323),INCREDIBLE LOCATION! 2 1/2 bedrooms +1 Bath,2,,https://losangeles.craigslist.org/lac/apa/d/glendale-incredible-location-bedrooms/7487240394.html,"1,750"
19,2022-05-23 08:01," (1026 S Broadway, Los Angeles, CA)","Disability Access, Refrigerator, Spectacular Skyline Views Available",1,1320.0,https://losangeles.craigslist.org/lac/apa/d/los-angeles-disability-access/7482135336.html,"3,518"
20,2022-05-23 08:00," (28923 N. Prarie Ln, Los Angeles, CA)","Range and Oven, Color Co-ordinated Carpet and Blinds, Oak Cabinets",3,1128.0,https://losangeles.craigslist.org/lac/apa/d/canyon-country-range-and-oven-color-co/7480363137.html,"2,253"
