,posted,neighborhood,post title,number bedrooms,sqft,URL,price
0,2022-05-24 17:35," (17171 West Roscoe Boulevard, Los Angeles, CA)","Evening courtesy patrol, Mirrored wardrobe, Onsite fitness center",1,650.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-evening-courtesy-patrol/7487954853.html,"2,215"
1,2022-05-24 17:35, (NORTH HOLLYWOOD),"HOUSE FOR LEASE! WASHER DRYER, WD FLR, CENTRAL AC, SS APPLS, FRIDGE",4,,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-house-for-lease-washer/7487954757.html,"3,900"
2,2022-05-24 17:34, (NORTH HOLLYWOOD),"BRAND NEW BUILT TOWNHOUSE BACKHOUSE,WASHER DRYER, CENTRAL AC, SS APPLS",3,1200.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-brand-new-built/7487954636.html,"3,500"
3,2022-05-24 17:32," (6530 Independence Ave. Canoga Park, CA)","2 Bedroom with pool, spa, BBQ, firepit, gym, Clubhouse, Parking",2,792.0,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-bedroom-with-pool-spa/7487953903.html,"2,680"
4,2022-05-24 17:29, (Lake Balboa),"Perfect location with gorgeous views! 1 bed, 1 bath! 577 Sq Ft!",1,577.0,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-perfect-location-with-gorgeous/7487952898.html,"1,950"
5,2022-05-24 17:28, (Valencia),"Wood Styled Flooring, Outdoor Barbecue & fireplace",2,1041.0,https://losangeles.craigslist.org/sfv/apa/d/stevenson-ranch-wood-styled-flooring/7487952685.html,"3,050"
6,2022-05-24 17:26, (Los Angeles),Los Feliz Home Available Now for look and Lease,1,710.0,https://losangeles.craigslist.org/sfv/apa/d/los-angeles-los-feliz-home-available/7487952117.html,"2,595"
7,2022-05-24 17:24, (san fernando valley),"Top Floor 2 bed/2 bath, Fully Renovated",2,1000.0,https://losangeles.craigslist.org/sfv/apa/d/glendale-top-floor-bed-bath-fully/7480565272.html,"2,980"
8,2022-05-24 17:22, (Burbank),Studio on First Floor Available NOW!,,466.0,https://losangeles.craigslist.org/sfv/apa/d/burbank-studio-on-first-floor-available/7487947510.html,"2,185"
9,2022-05-24 17:22," (4045 Vineland Avenue, Los Angeles, CA)","Washer/dryer, AT&T UVerse available, Granite countertops",1,765.0,https://losangeles.craigslist.org/sfv/apa/d/studio-city-washer-dryer-att-uverse/7487950680.html,"3,068"
10,2022-05-24 17:21, (Studio City),Studio City 1 Bedroom * SS Appliances * Recessed Lighting * A/C,1,683.0,https://losangeles.craigslist.org/sfv/apa/d/studio-city-studio-city-bedroom-ss/7482296053.html,"2,295"
11,2022-05-24 17:21, (Los Angeles/Universal City),"1 Bedroom  in Hollywood Hills/Universal City, Ceiling Fan, A/C, Pool",1,800.0,https://losangeles.craigslist.org/sfv/apa/d/universal-city-bedroom-in-hollywood/7482530035.html,"1,750"
12,2022-05-24 17:21, (Moments to Ventura Boulevard),Amazing 1 Bedroom in Sherman Oaks -Picnic Area -Controlled Access -Gym,1,800.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-amazing-bedroom-in-sherman/7482279786.html,"2,195"
13,2022-05-24 17:21, (Northridge),"Northridge Spacious 1+1 w/ New SS Appliances, Fireplace, Balcony",1,850.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-northridge-spacious-11-new/7484160367.html,"1,925"
14,2022-05-24 17:20, (Reseda),"RESEDA 1+1 w/ SS Appliances, Plank Flooring, Parking, Balcony",1,825.0,https://losangeles.craigslist.org/sfv/apa/d/reseda-reseda-11-ss-appliances-plank/7481229422.html,"1,950"
15,2022-05-24 17:20, (Northridge),1+1 in Northridge w/ Central AC - Gated Parking - Gym - Swimming Pool,1,653.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-11-in-northridge-central-ac/7480055304.html,"1,895"
16,2022-05-24 17:19, (VALLEY VILLAGE / SHERMAN OAKS),"MODERN ALL NEW 1+1 w/BALCONY, POOL, PARKING, CNTRL AC, LAUNDRY! 9988",1,,https://losangeles.craigslist.org/sfv/apa/d/valley-village-modern-all-new-11/7484601059.html,"2,150"
17,2022-05-24 17:18," (18414 W. Jakes Way, Canyon Country, CA)",A Beautiful Place to Call Home,2,860.0,https://losangeles.craigslist.org/sfv/apa/d/canyon-country-beautiful-place-to-call/7487949432.html,"2,312"
