,posted,neighborhood,post title,number bedrooms,sqft,URL,price
0,2022-05-25 13:02, (Fontana),ATTENTION YOU - 3 bed home for RENT - Text Mia to Pre-Qualify,3,1311.0,https://losangeles.craigslist.org/wst/apa/d/fontana-attention-you-bed-home-for-rent/7478808440.html,"2,960"
1,2022-05-25 13:02, (San Pedro),2/1 Home has great Craftsman style charm and beach house flow.,2,1016.0,https://losangeles.craigslist.org/wst/apa/d/san-pedro-1-home-has-great-craftsman/7488213219.html,"2,300"
2,2022-05-25 13:00, (Lennox),Awesome Studio ~ Very nice complex! ~ Near LAX! * Check it out! *,,312.0,https://losangeles.craigslist.org/wst/apa/d/inglewood-awesome-studio-very-nice/7488264659.html,"1,225"
3,2022-05-25 12:59, (Los Angeles),Sensational sauna available to residents at Casa de Marina!,2,923.0,https://losangeles.craigslist.org/wst/apa/d/playa-vista-sensational-sauna-available/7488264172.html,"2,920"
4,2022-05-25 12:58," (6300 Green Valley Circle, Culver City, CA)","LARGE 2x2 w/Patio, FREE Parking, HEATED Pool and Night Lit Tennis!",2,1170.0,https://losangeles.craigslist.org/wst/apa/d/culver-city-large-2x2-patio-free/7486377822.html,"3,316"
5,2022-05-25 12:57, (Los Angeles),1 Bedroom Heated Pool/ Gym,1,668.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-bedroom-heated-pool-gym/7488263600.html,"2,653"
6,2022-05-25 12:55," (1447 Lincoln Boulevard, Santa Monica, CA)","Online Payments Available, Courtesy Patrol, Elevator Access",1,386.0,https://losangeles.craigslist.org/wst/apa/d/santa-monica-online-payments-available/7487379794.html,"2,318"
7,2022-05-25 12:54, (Marina Del Rey),"YOUR NEXT ADDRESS IS THIS 1X1 APT. W/ A FIREPLACE, A BALCONY, & MORE",1,708.0,https://losangeles.craigslist.org/wst/apa/d/marina-del-rey-your-next-address-is/7488262220.html,"2,882"
8,2022-05-25 12:53," (Charlemagne Ave____ Bellflower, CA)","- Amazing 3 beds, available here",3,,https://losangeles.craigslist.org/wst/apa/d/bellflower-amazing-beds-available-here/7488261706.html,"2,550"
9,2022-05-25 12:52, (Inglewood),Quiet Building! * Awesome 1 bedroom Unit * Close to LAX! Parking *,1,600.0,https://losangeles.craigslist.org/wst/apa/d/inglewood-quiet-building-awesome/7488261160.html,"1,695"
10,2022-05-25 12:52, (West LA/Culver City),"Top floor, sunset view, 11 foot ceilings, open floor plan!",1,740.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-top-floor-sunset-view-11/7488261003.html,"3,833"
11,2022-05-25 12:51, (westside-southbay-310),"Newly-Renovated Apartments, Pool, Fitness Center",,357.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-newly-renovated-apartments/7488260576.html,"2,087"
12,2022-05-25 12:50, (westside-southbay-310),** Beautiful 3 bedroom lots of light fully remodeled**,3,1200.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-beautiful-bedroom-lots-of/7488260307.html,
