,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon,y,x
0,2022-05-24 17:35," (17171 West Roscoe Boulevard, Los Angeles, CA)","Evening courtesy patrol, Mirrored wardrobe, Onsite fitness center",1.0,650.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-evening-courtesy-patrol/7487954853.html,"2,215","['34.235300', '-118.518800']",,
1,2022-05-24 17:35, (NORTH HOLLYWOOD),"HOUSE FOR LEASE! WASHER DRYER, WD FLR, CENTRAL AC, SS APPLS, FRIDGE",4.0,,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-house-for-lease-washer/7487954757.html,"3,900","['34.205700', '-118.400100']",,
2,2022-05-24 17:34, (NORTH HOLLYWOOD),"BRAND NEW BUILT TOWNHOUSE BACKHOUSE,WASHER DRYER, CENTRAL AC, SS APPLS",3.0,1200.0,https://losangeles.craigslist.org/sfv/apa/d/north-hollywood-brand-new-built/7487954636.html,"3,500","['34.205700', '-118.400100']",,
3,2022-05-24 17:32," (6530 Independence Ave. Canoga Park, CA)","2 Bedroom with pool, spa, BBQ, firepit, gym, Clubhouse, Parking",2.0,792.0,https://losangeles.craigslist.org/sfv/apa/d/woodland-hills-bedroom-with-pool-spa/7487953903.html,"2,680","[None, None]",,
4,2022-05-24 17:29, (Lake Balboa),"Perfect location with gorgeous views! 1 bed, 1 bath! 577 Sq Ft!",1.0,577.0,https://losangeles.craigslist.org/sfv/apa/d/van-nuys-perfect-location-with-gorgeous/7487952898.html,"1,950","['34.187240', '-118.494759']",,
5,2022-05-24 17:28, (Valencia),"Wood Styled Flooring, Outdoor Barbecue & fireplace",2.0,1041.0,https://losangeles.craigslist.org/sfv/apa/d/stevenson-ranch-wood-styled-flooring/7487952685.html,"3,050","['34.377500', '-118.613100']",,
6,2022-05-24 17:26, (Los Angeles),Los Feliz Home Available Now for look and Lease,1.0,710.0,https://losangeles.craigslist.org/sfv/apa/d/los-angeles-los-feliz-home-available/7487952117.html,"2,595","['34.111273', '-118.290529']",,
7,2022-05-24 17:24, (san fernando valley),"Top Floor 2 bed/2 bath, Fully Renovated",2.0,1000.0,https://losangeles.craigslist.org/sfv/apa/d/glendale-top-floor-bed-bath-fully/7480565272.html,"2,980","['34.146996', '-118.245669']",,
8,2022-05-24 17:22, (Burbank),Studio on First Floor Available NOW!,,466.0,https://losangeles.craigslist.org/sfv/apa/d/burbank-studio-on-first-floor-available/7487947510.html,"2,185","['34.158920', '-118.313173']",,
9,2022-05-24 17:22," (4045 Vineland Avenue, Los Angeles, CA)","Washer/dryer, AT&T UVerse available, Granite countertops",1.0,765.0,https://losangeles.craigslist.org/sfv/apa/d/studio-city-washer-dryer-att-uverse/7487950680.html,"3,068","['34.143000', '-118.391300']",,
10,2022-05-24 17:21, (Studio City),Studio City 1 Bedroom * SS Appliances * Recessed Lighting * A/C,1.0,683.0,https://losangeles.craigslist.org/sfv/apa/d/studio-city-studio-city-bedroom-ss/7482296053.html,"2,295","['34.146706', '-118.396413']",,
11,2022-05-24 17:21, (Los Angeles/Universal City),"1 Bedroom  in Hollywood Hills/Universal City, Ceiling Fan, A/C, Pool",1.0,800.0,https://losangeles.craigslist.org/sfv/apa/d/universal-city-bedroom-in-hollywood/7482530035.html,"1,750","['34.129647', '-118.350391']",,
12,2022-05-24 17:21, (Moments to Ventura Boulevard),Amazing 1 Bedroom in Sherman Oaks -Picnic Area -Controlled Access -Gym,1.0,800.0,https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-amazing-bedroom-in-sherman/7482279786.html,"2,195","['34.155773', '-118.454367']",,
13,2022-05-24 17:21, (Northridge),"Northridge Spacious 1+1 w/ New SS Appliances, Fireplace, Balcony",1.0,850.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-northridge-spacious-11-new/7484160367.html,"1,925","['34.252059', '-118.523030']",,
14,2022-05-24 17:20, (Reseda),"RESEDA 1+1 w/ SS Appliances, Plank Flooring, Parking, Balcony",1.0,825.0,https://losangeles.craigslist.org/sfv/apa/d/reseda-reseda-11-ss-appliances-plank/7481229422.html,"1,950","['34.212756', '-118.535918']",,
15,2022-05-24 17:20, (Northridge),1+1 in Northridge w/ Central AC - Gated Parking - Gym - Swimming Pool,1.0,653.0,https://losangeles.craigslist.org/sfv/apa/d/northridge-11-in-northridge-central-ac/7480055304.html,"1,895","['34.252105', '-118.519809']",,
16,2022-05-24 17:19, (VALLEY VILLAGE / SHERMAN OAKS),"MODERN ALL NEW 1+1 w/BALCONY, POOL, PARKING, CNTRL AC, LAUNDRY! 9988",1.0,,https://losangeles.craigslist.org/sfv/apa/d/valley-village-modern-all-new-11/7484601059.html,"2,150","['34.165121', '-118.393049']",,
17,2022-05-24 17:18," (18414 W. Jakes Way, Canyon Country, CA)",A Beautiful Place to Call Home,2.0,860.0,https://losangeles.craigslist.org/sfv/apa/d/canyon-country-beautiful-place-to-call/7487949432.html,"2,312","['34.413200', '-118.426000']",,
