,Unnamed: 0,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon,y,x
0,0,2022-05-23 09:51, (Long Beach),🤠 YA'll Ready to make the🐮 Mmoove into this 2 Bdrm + 1 Bath!,2.0,900.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-yall-ready-to-make-the/7485021618.html,"2,565","['33.841751', '-118.176061']",33.841751,-118.176061
1,1,2022-05-23 09:50, (Bixby Knolls Community),"🌈Friendly Community, Top Floor 2+1 w/AC, Parking Included",2.0,900.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-friendly-community-top-floor/7485019157.html,"2,565","['33.841751', '-118.176061']",33.841751,-118.176061
2,2,2022-05-23 09:49, (long beach / 562),"1bd 1ba, 18-foot ceilings Select units, Large closets",1.0,656.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-1bd-1ba-18-foot-ceilings/7487300437.html,"2,550","['33.770600', '-118.182000']",33.770600,-118.182000
3,3,2022-05-23 09:39, (wilmington),Welcome to the heart of the harbor! 1 bedroom apartment,1.0,,https://losangeles.craigslist.org/lgb/apa/d/wilmington-welcome-to-the-heart-of-the/7487294867.html,"1,400","['33.775317', '-118.272537']",33.775317,-118.272537
4,4,2022-05-23 09:37, (Norwalk),"Gas Fireplace, Basketball Court, BBQ Area, Air Conditioning",1.0,660.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-gas-fireplace-basketball-court/7487294003.html,"2,227","['33.914701', '-118.085625']",33.914701,-118.085625
5,5,2022-05-23 09:34, (long beach / 562),"0/bd, Courtyard views, Located in Long Beach",,610.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-bd-courtyard-views-located/7481592449.html,"2,096","['33.770600', '-118.182000']",33.770600,-118.182000
6,6,2022-05-23 09:34, (Downey),"Conference Room, Crisp White Cabinetry, Amazon Hub Lockers, Elevators",1.0,638.0,https://losangeles.craigslist.org/lgb/apa/d/downey-conference-room-crisp-white/7487291779.html,"2,124","['33.917014', '-118.114134']",33.917014,-118.114134
7,7,2022-05-23 09:29, (long beach / 562),Cozy Pet Friendly 1 Bedroom In West L.A. ~ Parking Included!,1.0,,https://losangeles.craigslist.org/lgb/apa/d/los-angeles-cozy-pet-friendly-bedroom/7487289048.html,"1,645","['34.112100', '-118.259400']",34.112100,-118.259400
8,8,2022-05-23 09:27, (long beach / 562),"Fantastic 1 Bedroom, Sparkling Pool and Spa, Downtown Long Beach",1.0,,https://losangeles.craigslist.org/lgb/apa/d/los-angeles-fantastic-bedroom-sparkling/7487287978.html,"1,645","['33.973100', '-118.247900']",33.973100,-118.247900
9,9,2022-05-23 09:27, (Long Beach),LUXURY LIVING NOW AVAILABLE!! LOOK AND LEASE WITH US!,1.0,695.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-luxury-living-now-available/7487287915.html,"2,599","['33.768330', '-118.182764']",33.768330,-118.182764
10,10,2022-05-23 09:26, (Long Beach),"Incredible Amenities, Fitness Center, Quartz Countertops",1.0,778.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-incredible-amenities-fitness/7487287623.html,"2,965","['33.771464', '-118.186746']",33.771464,-118.186746
11,11,2022-05-23 09:26, (Long Beach),"Incredible Amenities, Pets Welcome, Rooftop Deck!! COME LOOK!",,936.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-incredible-amenities-pets/7487287341.html,"2,975","['33.770229', '-118.194419']",33.770229,-118.194419
12,12,2022-05-23 09:26, (Cudahy),OPEN HOUSE TODAY brand new 3bd2ba apartment with parking in Cudahy!!!,3.0,,https://losangeles.craigslist.org/lgb/apa/d/huntington-park-open-house-today-brand/7487281820.html,"2,895","['33.964314', '-118.193204']",33.964314,-118.193204
13,13,2022-05-23 09:25, (Cudahy),OPEN HOUSE brand new 2bd2ba apartment in Cudahy!!,2.0,,https://losangeles.craigslist.org/lgb/apa/d/huntington-park-open-house-brand-new/7487286912.html,"2,395","['33.964314', '-118.193204']",33.964314,-118.193204
14,14,2022-05-23 09:24, (long beach / 562),Large & Open Floor Plan with New Flooring - No Carpet - Ready Now!,2.0,1236.0,https://losangeles.craigslist.org/lgb/apa/d/downey-large-open-floor-plan-with-new/7485241232.html,"2,968","['33.958100', '-118.117400']",33.958100,-118.117400
15,15,2022-05-23 09:22, (Bixby Knolls),"🌊Top Floor 2+1 w/AC and Parking, Must See! Tour Today!",2.0,900.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-top-floor-21-ac-and-parking/7485365750.html,"2,565","['33.841751', '-118.176061']",33.841751,-118.176061
16,16,2022-05-23 09:21, (Long Beach),"💚 2 Bdrm + 2 Bath w/AC, Parking and a Balcony💚 Aailable in June!",2.0,980.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-bdrm-bath-ac-parking-and/7487284203.html,"2,750","['33.841751', '-118.176061']",33.841751,-118.176061
17,17,2022-05-23 09:20, (Bixby Knolls),"🦖Dinomite 2+1 w/AC and Parking,  Avaialble in March!",2.0,900.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-dinomite-21-ac-and-parking/7485822700.html,"2,565","['33.841751', '-118.176061']",33.841751,-118.176061
18,18,2022-05-23 09:18, (Redondo Beach),3rd floor Cozy Coastal apartment Home~Apply Today,1.0,650.0,https://losangeles.craigslist.org/lgb/apa/d/redondo-beach-3rd-floor-cozy-coastal/7487282430.html,"2,775","['33.844172', '-118.388664']",33.844172,-118.388664
19,19,2022-05-23 09:17, (long beach / 562),Brand new remodeled cozy one bedroom,1.0,,https://losangeles.craigslist.org/lgb/apa/d/los-angeles-brand-new-remodeled-cozy/7487282269.html,"1,645","['34.112100', '-118.259400']",34.112100,-118.259400
20,20,2022-05-23 09:13, (Long Beach),Going Fast! This 2+1.75 w/ Balcony and Central A/C. Tour Today!,2.0,950.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-going-fast-this-2175-balcony/7487279414.html,"2,660","['33.841751', '-118.176061']",33.841751,-118.176061
21,21,2022-05-23 09:05, (Downey),Air Conditioning | BBQ/Picnic Area | Gated 1 Bedroom 1 BA in Downey,1.0,610.0,https://losangeles.craigslist.org/lgb/apa/d/downey-air-conditioning-bbq-picnic-area/7487274794.html,"1,750","['33.966171', '-118.114576']",33.966171,-118.114576
22,22,2022-05-23 08:58, (East Village),Studio Two Blocks From the Ocean,,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-studio-two-blocks-from-the/7487270754.html,"1,300","['33.770055', '-118.182401']",33.770055,-118.182401
23,23,2022-05-23 08:55, (Carson),"House For Rent, Carson Area, $2100 a/mo",2.0,,https://losangeles.craigslist.org/lgb/apa/d/carson-house-for-rent-carson-area-2100/7487269054.html,,"['33.831400', '-118.262600']",33.831400,-118.262600
24,24,2022-05-23 08:55, (Downtown Long Beach),DTLB 🏙 Open Loft One Bedroom  + Den - Great Home/Work Solution!,1.0,870.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-dtlb-open-loft-one-bedroom/7483762453.html,"2,797","['33.769916', '-118.189610']",33.769916,-118.189610
25,25,2022-05-23 08:51, (long beach / 562),"2 Bed, Wood-style plank flooring, Zen garden and sundeck",2.0,1075.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-bed-wood-style-plank/7478239291.html,"3,241","['33.770600', '-118.182000']",33.770600,-118.182000
26,26,2022-05-23 08:46, (Long Beach),Let us help you find your next home! Check out this Studio!,,365.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-let-us-help-you-find-your/7487263940.html,"1,725","['33.871149', '-118.185919']",33.871149,-118.185919
27,27,2022-05-23 08:31, (long beach / 562),"Premium Bathroom, Smoke Free, Fitness Center",2.0,860.0,https://losangeles.craigslist.org/lgb/apa/d/norwalk-premium-bathroom-smoke-free/7487255202.html,"2,495","['33.891214', '-118.094899']",33.891214,-118.094899
28,28,2022-05-23 08:29, (Long beach),Furnished Apartment,,,https://losangeles.craigslist.org/lgb/apa/d/signal-hill-furnished-apartment/7487254202.html,"3,450","['33.804227', '-118.146447']",33.804227,-118.146447
29,29,2022-05-23 08:23, (San Pedro),!!! FANTASTIC 1 Bed 1 Bath available !!! 2102_8,1.0,600.0,https://losangeles.craigslist.org/lgb/apa/d/san-pedro-fantastic-bed-bath-available/7485262219.html,"1,595","['33.724475', '-118.287904']",33.724475,-118.287904
30,30,2022-05-23 08:22," (8121 Broadway Blvd, Los Angeles, CA)","Wood Style Flooring, Courtyard, Courtesy Patrol",2.0,811.0,https://losangeles.craigslist.org/lgb/apa/d/whittier-wood-style-flooring-courtyard/7479460673.html,"2,420","['33.977700', '-118.065800']",33.977700,-118.065800
31,31,2022-05-23 08:19," (5910 Orange Ave, Apt.# D, Long Beach, CA 90805)",Open House - Will work with bad credit - 1 br/ 1 ba,1.0,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-open-house-will-work-with/7487248564.html,"1,750","['33.862173', '-118.177402']",33.862173,-118.177402
32,32,2022-05-23 08:13, (long beach / 562),"GORGEOUS 1 BEDROOM, 1 BATHROOM AVAILABLE",1.0,700.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-gorgeous-bedroom-bathroom/7487234241.html,"1,175","['33.777426', '-118.160100']",33.777426,-118.160100
33,33,2022-05-23 08:05, (Long Beach),NEW in DT LB on Promenade Way,1.0,926.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-new-in-dt-lb-on-promenade-way/7477450022.html,"3,100","['33.761900', '-118.134100']",33.761900,-118.134100
34,34,2022-05-23 08:05," (Long Beach, CA)","Brand new 1, 2 & 3 bedrooms in Long Beach!",1.0,,https://losangeles.craigslist.org/lgb/apa/d/long-beach-brand-new-bedrooms-in-long/7483150032.html,"3,800","['33.773147', '-118.195767']",33.773147,-118.195767
