,posted,neighborhood,post title,number bedrooms,sqft,URL,price
0,2022-05-22 09:48, (Long Beach),Apartments Available!! CHECK OUR WEBSITE!,1,739.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-apartments-available-check/7486903443.html,"2,935"
1,2022-05-22 09:47, (Long Beach),"Reserve Now, Easy Freeway Access, Rooftop Deck",1,778.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-reserve-now-easy-freeway/7486903187.html,"2,965"
2,2022-05-22 09:47, (Long Beach),"Brand new, Available Now, Lease Specials!!!",1,695.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-brand-new-available-now/7486902858.html,"2,599"
3,2022-05-22 09:41, (long beach / 562),"Suite with entrance, living area with kitchenette",1,,https://losangeles.craigslist.org/lgb/apa/d/los-angeles-suite-with-entrance-living/7486884416.html,"1,645"
4,2022-05-22 09:38, (San Pedro),Cozy Bachelor for Rent!!!,,,https://losangeles.craigslist.org/lgb/apa/d/san-pedro-cozy-bachelor-for-rent/7485858804.html,795
5,2022-05-22 09:35, (Northwest Torrance),"*Charming 3 bed, 1 bath home in a highly desirable area of Torrance!",3,,https://losangeles.craigslist.org/lgb/apa/d/torrance-charming-bed-bath-home-in/7486867864.html,"1,500"
6,2022-05-22 09:31, (Downey),Check Our Reduced Rates at Park Regency Club Apartments,1,638.0,https://losangeles.craigslist.org/lgb/apa/d/downey-check-our-reduced-rates-at-park/7486896309.html,"2,039"
7,2022-05-22 09:31, (long beach / 562),"1/BD, Elevator access, Located in Long Beach",1,656.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-bd-elevator-access-located/7486896083.html,"2,504"
8,2022-05-22 09:30, (long beach / 562),2 bed 1 bath Apartment in Silver Lake near Echo Park,2,,https://losangeles.craigslist.org/lgb/apa/d/glendale-bed-bath-apartment-in-silver/7486895658.html,"1,750"
9,2022-05-22 09:18," (8121 Broadway Blvd, Los Angeles, CA)","Offer Virtual Tours, Dishwasher, Wood Style Flooring",2,811.0,https://losangeles.craigslist.org/lgb/apa/d/whittier-offer-virtual-tours-dishwasher/7478779316.html,"2,420"
10,2022-05-22 09:17, (long beach / 562),"Pool, Stainless Steel Appliances, Pet Friendly",2,1175.0,https://losangeles.craigslist.org/lgb/apa/d/cerritos-pool-stainless-steel/7485690815.html,"3,710"
11,2022-05-22 09:16, (long beach / 562),"2 bed, 1 bath right off of Central Ave!!",2,,https://losangeles.craigslist.org/lgb/apa/d/glendale-bed-bath-right-off-of-central/7486889511.html,"1,750"
12,2022-05-22 09:15, (Downey),"1 Bedroom 1 Bath in Downey, Two Swimming Pools, BBQ/Picnic Area",1,610.0,https://losangeles.craigslist.org/lgb/apa/d/downey-bedroom-bath-in-downey-two/7486889259.html,"1,750"
13,2022-05-22 09:14, (long beach / 562),"2 Bed, Controlled-entry access, Resident social lounge",2,971.0,https://losangeles.craigslist.org/lgb/apa/d/long-beach-bed-controlled-entry-access/7480851497.html,"3,038"
