,Unnamed: 0,posted,neighborhood,post title,number bedrooms,sqft,URL,price,latlon,y,x
0,0,2022-05-23 11:36, (san gabriel valley),"1 BD 1 BA, Lush Landscaped Grounds, Hacienda Heights CA",1.0,650.0,https://losangeles.craigslist.org/sgv/apa/d/hacienda-heights-bd-ba-lush-landscaped/7486558768.html,"2,100","['33.990598', '-117.969885']",33.990598,-117.969885
1,1,2022-05-23 11:33, (san gabriel valley),"2BD 2BA, Breakfast bars, Situated in Hacienda Heights!",2.0,955.0,https://losangeles.craigslist.org/sgv/apa/d/hacienda-heights-2bd-2ba-breakfast-bars/7487358521.html,"2,988","['33.990598', '-117.969885']",33.990598,-117.969885
2,2,2022-05-23 11:30, (Claremont Village),"NEW**Spacious 2Bed 2Bath, Skylights, HUGE Windows, Vaulted Ceilings +",2.0,,https://losangeles.craigslist.org/sgv/apa/d/pomona-newspacious-2bed-2bath-skylights/7476781940.html,"2,400","['34.095956', '-117.727089']",34.095956,-117.727089
3,3,2022-05-23 11:30, (Claremont Village),"HUGE 2 Bed 2 Bath, Skylights, Vaulted Ceilings, Pets, Pool, +MORE",2.0,,https://losangeles.craigslist.org/sgv/apa/d/pomona-huge-bed-bath-skylights-vaulted/7478740853.html,"2,400","['34.096187', '-117.727132']",34.096187,-117.727132
4,4,2022-05-23 11:28," (Alhambra, Pasadena, Monterey Park, Rosemead, San Gabriel,)",Just Renovated 2bed 2bath 2 Parking Spacious As Large As 3 bedroom,2.0,1200.0,https://losangeles.craigslist.org/sgv/apa/d/los-angeles-just-renovated-2bed-2bath/7475310778.html,"2,100","['34.090867', '-118.165319']",34.090867,-118.165319
5,5,2022-05-23 11:28," (Monterey Park, Rosemead, San Gabriel, Alhambra, Pasadena,)",2Bedroom 1.5Bathroom 2story townhouse free 2Car gated Parking FreeWIFI,2.0,1300.0,https://losangeles.craigslist.org/sgv/apa/d/rosemead-2bedroom-15bathroom-2story/7481864902.html,"2,100","['34.065800', '-118.085300']",34.065800,-118.085300
6,6,2022-05-23 11:28," (Alhambra, Pasadena, Monterey Park, Rosemead, San Gabriel,)",Large Room In House For Rent Private Bedrm Share Bathrm Very quiet,,250.0,https://losangeles.craigslist.org/sgv/apa/d/rosemead-large-room-in-house-for-rent/7476116453.html,850,"['34.065800', '-118.085300']",34.065800,-118.085300
7,7,2022-05-23 11:28," (Monterey Park, Rosemead, San Gabriel, Alhambra, Pasadena,)",House Rm For Rent Private Bedrm Share Bathrm Parking Laudry Very quiet,,140.0,https://losangeles.craigslist.org/sgv/apa/d/rosemead-house-rm-for-rent-private/7481862446.html,750,"['34.065800', '-118.085300']",34.065800,-118.085300
8,8,2022-05-23 11:23, (san gabriel valley),"Space Saving Organizer Systems, Quiet Meandering Walkways, Dishwasher",2.0,860.0,https://losangeles.craigslist.org/sgv/apa/d/canyon-country-space-saving-organizer/7487353204.html,"2,128","['34.413200', '-118.426000']",34.413200,-118.426000
9,9,2022-05-23 11:22, (EL MONTE),HOUSE FOR RENT,3.0,1500.0,https://losangeles.craigslist.org/sgv/apa/d/la-puente-house-for-rent/7487352444.html,"2,800","['34.049249', '-118.018105']",34.049249,-118.018105
10,10,2022-05-23 11:21, (West Covina),CHECK OUT THIS PET-FRIENDLY 2R/2BA APT. WITH TIMESAVING APPLIANCES,2.0,890.0,https://losangeles.craigslist.org/sgv/apa/d/la-puente-check-out-this-pet-friendly/7487349337.html,"2,545","['34.035466', '-117.919393']",34.035466,-117.919393
11,11,2022-05-23 11:20, (san gabriel valley),"Parking, Fitness Center, Balcony/Patio",1.0,775.0,https://losangeles.craigslist.org/sgv/apa/d/pasadena-parking-fitness-center-balcony/7478023121.html,"3,020","['34.139273', '-118.129594']",34.139273,-118.129594
12,12,2022-05-23 11:20," (Eastvale, Corona & Chino Hills)",Apply For Rentals With Less Then Perfect Credit,4.0,,https://losangeles.craigslist.org/sgv/apa/d/corona-apply-for-rentals-with-less-then/7487343169.html,"2,500","['33.920800', '-117.609600']",33.920800,-117.609600
13,13,2022-05-23 11:13, (WEST COVINA),TWO BEDROOMS ONE BATH AVAILABLE NOW.,2.0,875.0,https://losangeles.craigslist.org/sgv/apa/d/west-covina-two-bedrooms-one-bath/7487347853.html,"2,448","['34.022900', '-117.897500']",34.022900,-117.897500
14,14,2022-05-23 11:12, (Rowland Heights),JOIN OUR WAITLIST! RESERVE!CALL JESSICA,2.0,,https://losangeles.craigslist.org/sgv/apa/d/la-puente-join-our-waitlist-reservecall/7487346891.html,"2,540","['33.991012', '-117.937596']",33.991012,-117.937596
15,15,2022-05-23 11:11, (Playhouse District),2 Bed Loft! Top Floor ! View of SanGabriel Mountains! Hardwood Floors!,2.0,1273.0,https://losangeles.craigslist.org/sgv/apa/d/pasadena-bed-loft-top-floor-view-of/7487346714.html,"4,461","['34.147083', '-118.138404']",34.147083,-118.138404
16,16,2022-05-23 11:10, (West Covina),"Cable Ready, Sparkling Pool/Jacuuzi / Gym / Luxurious Living",3.0,1292.0,https://losangeles.craigslist.org/sgv/apa/d/west-covina-cable-ready-sparkling-pool/7487345753.html,"2,995","['34.071111', '-117.882872']",34.071111,-117.882872
17,17,2022-05-23 11:08," (Sturtevant Dr, Sierra Madre, CA)",Cozy 1bed/1bath available for rent,1.0,700.0,https://losangeles.craigslist.org/sgv/apa/d/sierra-madre-cozy-1bed-1bath-available/7483775931.html,"1,300","['34.169058', '-118.041991']",34.169058,-118.041991
18,18,2022-05-23 11:08, (Playhouse District),Top Floor Loft! Colorado View! Hardwood Flooring! Designer Finish!,,1645.0,https://losangeles.craigslist.org/sgv/apa/d/pasadena-top-floor-loft-colorado-view/7487344652.html,"4,307","['34.147083', '-118.138404']",34.147083,-118.138404
19,19,2022-05-23 11:08," (Sturtevant Dr, Sierra Madre, CA)",Spacious and lovely 1bed/1bath available,1.0,700.0,https://losangeles.craigslist.org/sgv/apa/d/sierra-madre-spacious-and-lovely-1bed/7483802842.html,"1,300","['34.170426', '-118.042508']",34.170426,-118.042508
20,20,2022-05-23 11:06, (West Covina),Sparkling pool/ Lush Living / Gym and Spa available,2.0,945.0,https://losangeles.craigslist.org/sgv/apa/d/west-covina-sparkling-pool-lush-living/7481402628.html,"2,165","['34.071090', '-117.883279']",34.071090,-117.883279
