,posted,neighborhood,post title,number bedrooms,sqft,URL,price
0,2022-05-23 11:36, (san gabriel valley),"1 BD 1 BA, Lush Landscaped Grounds, Hacienda Heights CA",1,650.0,https://losangeles.craigslist.org/sgv/apa/d/hacienda-heights-bd-ba-lush-landscaped/7486558768.html,"2,100"
1,2022-05-23 11:33, (san gabriel valley),"2BD 2BA, Breakfast bars, Situated in Hacienda Heights!",2,955.0,https://losangeles.craigslist.org/sgv/apa/d/hacienda-heights-2bd-2ba-breakfast-bars/7487358521.html,"2,988"
2,2022-05-23 11:30, (Claremont Village),"NEW**Spacious 2Bed 2Bath, Skylights, HUGE Windows, Vaulted Ceilings +",2,,https://losangeles.craigslist.org/sgv/apa/d/pomona-newspacious-2bed-2bath-skylights/7476781940.html,"2,400"
3,2022-05-23 11:30, (Claremont Village),"HUGE 2 Bed 2 Bath, Skylights, Vaulted Ceilings, Pets, Pool, +MORE",2,,https://losangeles.craigslist.org/sgv/apa/d/pomona-huge-bed-bath-skylights-vaulted/7478740853.html,"2,400"
4,2022-05-23 11:28," (Alhambra, Pasadena, Monterey Park, Rosemead, San Gabriel,)",Just Renovated 2bed 2bath 2 Parking Spacious As Large As 3 bedroom,2,1200.0,https://losangeles.craigslist.org/sgv/apa/d/los-angeles-just-renovated-2bed-2bath/7475310778.html,"2,100"
5,2022-05-23 11:28," (Monterey Park, Rosemead, San Gabriel, Alhambra, Pasadena,)",2Bedroom 1.5Bathroom 2story townhouse free 2Car gated Parking FreeWIFI,2,1300.0,https://losangeles.craigslist.org/sgv/apa/d/rosemead-2bedroom-15bathroom-2story/7481864902.html,"2,100"
6,2022-05-23 11:28," (Alhambra, Pasadena, Monterey Park, Rosemead, San Gabriel,)",Large Room In House For Rent Private Bedrm Share Bathrm Very quiet,,250.0,https://losangeles.craigslist.org/sgv/apa/d/rosemead-large-room-in-house-for-rent/7476116453.html,850
7,2022-05-23 11:28," (Monterey Park, Rosemead, San Gabriel, Alhambra, Pasadena,)",House Rm For Rent Private Bedrm Share Bathrm Parking Laudry Very quiet,,140.0,https://losangeles.craigslist.org/sgv/apa/d/rosemead-house-rm-for-rent-private/7481862446.html,750
8,2022-05-23 11:23, (san gabriel valley),"Space Saving Organizer Systems, Quiet Meandering Walkways, Dishwasher",2,860.0,https://losangeles.craigslist.org/sgv/apa/d/canyon-country-space-saving-organizer/7487353204.html,"2,128"
9,2022-05-23 11:22, (EL MONTE),HOUSE FOR RENT,3,1500.0,https://losangeles.craigslist.org/sgv/apa/d/la-puente-house-for-rent/7487352444.html,"2,800"
