,posted,neighborhood,post title,number bedrooms,sqft,URL,price
0,2022-05-22 09:51, (SOCAL),Completely remodeled 3bd property,3,1104.0,https://losangeles.craigslist.org/wst/apa/d/compton-completely-remodeled-3bd/7475706157.html,"1,799"
1,2022-05-22 09:50, (San Pedro),"#718 View Sunday, Pets Welcome, Ideal San Pedro Location",1,548.0,https://losangeles.craigslist.org/wst/apa/d/san-pedro-718-view-sunday-pets-welcome/7486904236.html,"2,330"
2,2022-05-22 09:50, (westside-southbay-310),Must See 1 Bedroom in Beverly Grove | Granite | A/C | Balcony,1,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-must-see-bedroom-in-beverly/7486899023.html,"2,295"
3,2022-05-22 09:48, (westside-southbay-310),In Unit Washer/Dryer,1,687.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-in-unit-washer-dryer/7480271174.html,"2,455"
4,2022-05-22 09:48," (415 Gayley Ave., Los Angeles, CA)",This Is What You’ve Been Searching For. Pre-Leasing for Summer!,1,650.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-this-is-what-youve-been/7480897775.html,"2,656"
5,2022-05-22 09:44, (NoHo West),Alexan NoHo West - The Newest Luxury Community - New Availability Sept,2,1010.0,https://losangeles.craigslist.org/wst/apa/d/north-hollywood-alexan-noho-west-the/7486901977.html,"3,700"
6,2022-05-22 09:44, (Venice),"Call Us Today, Efficiency in Venice, Spacious Walk-in Closet",,260.0,https://losangeles.craigslist.org/wst/apa/d/venice-call-us-today-efficiency-in/7486901809.html,"1,395"
7,2022-05-22 09:43," (4600 Vía Marina, Marina del Rey, CA)","Private patios or balconies, 24-hour fitness center, Community grills",1,831.0,https://losangeles.craigslist.org/wst/apa/d/marina-del-rey-private-patios-or/7482149906.html,"3,120"
8,2022-05-22 09:41, (Century City – adjacent Beverly Hills),2 Bedroom Century City ✶ Fully Renovated with High Ceilings,2,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-bedroom-century-city-fully/7486900376.html,"3,495"
9,2022-05-22 09:40, (Venice Beach),1bdrm 1 bth,1,575.0,https://losangeles.craigslist.org/wst/apa/d/san-pedro-1bdrm-bth/7486095772.html,"2,795"
10,2022-05-22 09:39, (Brentwood / Westwood ADJ),Studio Suite in Brentwood * Shimmering Swimming Pool * Fitness Center,,460.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-studio-suite-in-brentwood/7486875118.html,"2,195"
11,2022-05-22 09:38," (Venice, CA)",Completely Updated One Bedroom Home Available for Move in!,1,630.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-completely-updated-one/7486894257.html,"1,000"
12,2022-05-22 09:38, (westside-southbay-310),"Elevator Access, Penthouse Suites and Vaulted Ceilings, Breakfast Bar",1,634.0,https://losangeles.craigslist.org/wst/apa/d/santa-monica-elevator-access-penthouse/7486899269.html,"3,799"
13,2022-05-22 09:35," (840 Larrabee Street, West Hollywood, CA)","Elevator access, 24-Hour fitness center, 24-Hour laundry centers",,414.0,https://losangeles.craigslist.org/wst/apa/d/west-hollywood-elevator-access-24-hour/7485105943.html,"2,521"
14,2022-05-22 09:35, (westside-southbay-310),Amazing Spacious One Bedroom With Loft! Close To Everything!,1,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-amazing-spacious-one/7486895291.html,"1,645"
15,2022-05-22 09:34," (1447 Lincoln Boulevard, Santa Monica, CA)","Seating Areas, Courtesy Patrol, Controlled Access",1,386.0,https://losangeles.craigslist.org/wst/apa/d/santa-monica-seating-areas-courtesy/7486093825.html,"2,318"
16,2022-05-22 09:31, (westside-southbay-310),"Mecho designer window shades, Assigned parking, Elfa closet systems",1,625.0,https://losangeles.craigslist.org/wst/apa/d/santa-monica-mecho-designer-window/7486896158.html,"3,599"
17,2022-05-22 09:30, (Inglewood),1 Bedroom 1 Bath Apartment upstairs,1,500.0,https://losangeles.craigslist.org/wst/apa/d/inglewood-bedroom-bath-apartment/7482439881.html,"1,675"
18,2022-05-22 09:29, (Westchester),"Availability 24 Hours, Custom Designed Fireplace, Carpeting",1,700.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-availability-24-hours/7486895234.html,"2,070"
19,2022-05-22 09:27, (westside-southbay-310),"Saunas, Wood Plank Floors, Luxury Apartments, Coffee Lounge",1,701.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-saunas-wood-plank-floors/7486894518.html,"2,991"
20,2022-05-22 09:22, (Beverly Hills),"2Bedroom 2 BA in Beverly Hills, Ceiling Fan, Laundry On-Site",2,1000.0,https://losangeles.craigslist.org/wst/apa/d/beverly-hills-2bedroom-ba-in-beverly/7486888315.html,"2,895"
21,2022-05-22 09:22, (West Hollywood),"Cable Ready, Vinyl Plank Wood-like Flooring, Mirrored Closet Doors",,605.0,https://losangeles.craigslist.org/wst/apa/d/west-hollywood-cable-ready-vinyl-plank/7486892160.html,"2,649"
22,2022-05-22 09:20, (westside-southbay-310),"24 hour State of the Art Fitness Center, Private Balconies",2,983.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-24-hour-state-of-the-art/7486891419.html,"3,623"
23,2022-05-22 09:20, (Brentwood/West Los Angeles),A/C + Ceiling Fan + Fridge + Wood Flooring + STUDIO  in Brentwood,,450.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-c-ceiling-fan-fridge-wood/7486881354.html,"3,195"
24,2022-05-22 09:19, (Playa Vista),"Ask About Our Leasing Specials, Lease Today Move Tomorrow",1,912.0,https://losangeles.craigslist.org/wst/apa/d/playa-vista-ask-about-our-leasing/7486890907.html,"3,142"
25,2022-05-22 09:18, (westside-southbay-310),"Gorgeous Marina Views, Walking Distance to the Farmers Market!",1,763.0,https://losangeles.craigslist.org/wst/apa/d/marina-del-rey-gorgeous-marina-views/7486890442.html,"3,799"
26,2022-05-22 09:16, (westside-southbay-310),"Saunas, Private Balconies, Smoke Free, Coffee Lounge",,551.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-saunas-private-balconies/7486889632.html,"3,039"
27,2022-05-22 09:16, (West Los Angeles),"Outdoor Lounges, Soaking Spa, Brand New STUDIO in West Los Angeles",,569.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-outdoor-lounges-soaking-spa/7486889592.html,"2,795"
28,2022-05-22 09:15, (West Los Angeles/ Culver City),Garage Parking -Pool -Ceiling Fan -1 Bedroom in West Los Angeles,1,650.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-garage-parking-pool-ceiling/7486889447.html,"1,995"
29,2022-05-22 09:15, (westside-southbay-310),"Newly-Renovated Apartments, Pool, Tennis Court",,357.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-newly-renovated-apartments/7486889317.html,"2,085"
30,2022-05-22 09:15, (Westchester/LAX),1 Bedroom In Westchester + Newly Renovated + Call Us Today!,1,750.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-bedroom-in-westchester/7486889084.html,"3,195"
31,2022-05-22 09:14, (Venice),1 Bedroom 1 BA in Venice * SS Appliances * Specials * Highly Upgraded,1,600.0,https://losangeles.craigslist.org/wst/apa/d/venice-bedroom-ba-in-venice-ss/7486888798.html,"2,650"
32,2022-05-22 09:14," (6300 Green Valley Circle, Culver City, CA)","Gas BBQ grills, Professional on-site management team, Outdoor spa",1,710.0,https://losangeles.craigslist.org/wst/apa/d/culver-city-gas-bbq-grills-professional/7484168529.html,"2,640"
33,2022-05-22 09:13, (Los Angeles / Culver City),CULVER CITY Extra Large Studio With Modern Architectural Design,,674.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-culver-city-extra-large/7486888481.html,"2,775"
34,2022-05-22 09:12, (westside-southbay-310),6 WEEKS OFF FOR IMMEDIATE MOVE-INS! Schedule your TOUR TODAY!!,1,666.0,https://losangeles.craigslist.org/wst/apa/d/hawthorne-weeks-off-for-immediate-move/7486887865.html,"2,975"
35,2022-05-22 09:08," (4600 Vía Marina, Marina del Rey, CA)","Library, 24-hour fitness center, On-site café",2,1040.0,https://losangeles.craigslist.org/wst/apa/d/marina-del-rey-library-24-hour-fitness/7478701390.html,"3,971"
36,2022-05-22 09:07, (westside-southbay-310),LIVE IN METROPOLIS TOWN II!,1,500.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-live-in-metropolis-town-ii/7486885734.html,"3,300"
37,2022-05-22 09:06, (westside-southbay-310),"Hardwood Inspired Flooring, Online Resident Portal, Patio/Balcony",1,634.0,https://losangeles.craigslist.org/wst/apa/d/santa-monica-hardwood-inspired-flooring/7481916650.html,"3,799"
38,2022-05-22 09:06," (11090 Strathmore Dr, Los Angeles, CA)","Gas Stove & Oven, In the Heart of Westwood, Modern Vinyl",1,450.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-gas-stove-oven-in-the-heart/7479922056.html,"2,315"
39,2022-05-22 09:05," (Van Nuys, CA)","Beautiful New Unit in Lake Balboa - this one bedroom, one bathroom",1,,https://losangeles.craigslist.org/wst/apa/d/van-nuys-beautiful-new-unit-in-lake/7486884968.html,"1,100"
40,2022-05-22 09:05, (West Hollywood),Newly Renovated Studio with Stainless Steal Appliances,,2794.0,https://losangeles.craigslist.org/wst/apa/d/west-hollywood-newly-renovated-studio/7486884840.html,"2,809"
41,2022-05-22 09:01," (1502 Broadway, Santa Monica, CA)","Bike storage, Elevator access, Package Lockers",1,1094.0,https://losangeles.craigslist.org/wst/apa/d/santa-monica-bike-storage-elevator/7479178154.html,"4,695"
42,2022-05-22 08:57, (Westchester/LAX),Remodeled 1 Bedroom in Westchester | Gym | SS Appliances,1,750.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-remodeled-bedroom-in/7486881591.html,"2,895"
43,2022-05-22 08:54, (westside-southbay-310),Ceiling Fans + Pool + Refrigerator  + 1 Bedroom in Beautiful Torrance,1,700.0,https://losangeles.craigslist.org/wst/apa/d/torrance-ceiling-fans-pool-refrigerator/7486880266.html,"1,900"
44,2022-05-22 08:53, (Nearby UCLA),Pool - Controlled Access - 2 Bedroom in W. Los Angeles - Near UCLA,2,800.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-pool-controlled-access/7486879937.html,"2,795"
45,2022-05-22 08:52, (Near SMC),Efficiency in SANTA MONICA ++ Cat-Friendly ++ 2 Large Closets,,350.0,https://losangeles.craigslist.org/wst/apa/d/santa-monica-efficiency-in-santa-monica/7486873945.html,"1,650"
46,2022-05-22 08:50, (Spalding Square),Spacious 2br/2ba Condo w/ unobstructed park views in amazing location,2,1590.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-spacious-2br-2ba-condo/7483981140.html,"3,900"
47,2022-05-22 08:49, (West Hollywood),🌈1 Bedroom 1 BA in West Hollywood -Picnic Area -Refrigerator -A/C 🌈,1,750.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-bedroom-ba-in-west/7486872669.html,"2,100"
48,2022-05-22 08:44, (Silver lake),"Modern 1 Bed 1 Bath with Central a/c, balcony and parking",1,600.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-modern-bed-bath-with/7479437016.html,"1,795"
49,2022-05-22 08:42, (Westwood Village / Close to UCLA),"Gorgeous 1 Bedroom Suite in Westwood Village W/ Air Conditioning, F/P",1,650.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-gorgeous-bedroom-suite-in/7486875178.html,"3,595"
50,2022-05-22 08:42, (Westwood Village / Nearby UCLA),Fitness Center *Pool *Coffee Bar *1 Bedroom Suite in Westwood Village,1,650.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-fitness-center-pool-coffee/7486875046.html,"3,595"
51,2022-05-22 08:41, (West Los Angeles / Century City),"SS Appliances, Central Air/Heating, 2 Bedroom in West Los Angeles",2,950.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-ss-appliances-central-air/7486874921.html,"3,395"
52,2022-05-22 08:41, (OPEN HOUSE DAILY 10-5 | West Los Angeles),1 Bedroom in Westside/West Los Angeles | BBQ/Picnic Area | Zen Garden,1,700.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-bedroom-in-westside-west/7486874863.html,"2,495"
53,2022-05-22 08:41, (Westwood / Close to UCLA),"WESTWOOD 2 Bedroom 1.5 Bath + Wood Style Floors, Central Air",2,1200.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-westwood-bedroom-15-bath/7486874795.html,"3,975"
54,2022-05-22 08:40," (10274 Kincardine Ave, Los Angeles, CA)",Manhattan and Redondo beaches close at hand,2,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-manhattan-and-redondo/7486872377.html,0
55,2022-05-22 08:38, (Westwood Village),"Renovated 1 Bedroom 1 BA in Reseda, Stainless Steel Appliances",1,700.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-renovated-bedroom-ba-in/7486873669.html,"3,295"
56,2022-05-22 08:37, (Near Beverly Hills),2+2 in Culver City * SS Appliances * Specials * Fully Renovated,2,1100.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-22-in-culver-city-ss/7486873041.html,"3,395"
57,2022-05-22 08:35, (Marina Del Rey Venice Beach),"1 Bedroom 1 Bath in Marina Del Rey With Quartz Counters, Balcony",1,750.0,https://losangeles.craigslist.org/wst/apa/d/venice-bedroom-bath-in-marina-del-rey/7486872431.html,"3,033"
58,2022-05-22 08:13, (VENICE BEACH),LARGE 1BEDRM APT NEAR ROSE AV STEPS TO THE BEACH MOVE-IN-SPECIAL,1,600.0,https://losangeles.craigslist.org/wst/apa/d/venice-large-1bedrm-apt-near-rose-av/7485148227.html,"2,398"
59,2022-05-22 08:13, (VENICE BEACH),MOVE-IN-SPECIAL LARGE 1BEDRM APT NEAR ROSE AV STEPS TO THE BEACH,1,,https://losangeles.craigslist.org/wst/apa/d/venice-move-in-special-large-1bedrm-apt/7485148063.html,"2,398"
60,2022-05-22 08:13, (VENICE BEACH),LARGE 1BEDRM APT NEAR ROSE AV STEPS TO THE BEACH MOVE-IN-SPECIAL,1,600.0,https://losangeles.craigslist.org/wst/apa/d/venice-large-1bedrm-apt-near-rose-av/7485148371.html,"2,398"
61,2022-05-22 08:04," (5910 Orange Ave, Apt.# D, Long Beach, CA 90805)",Will work with bad credit - 1 br/ 1 ba,1,,https://losangeles.craigslist.org/wst/apa/d/long-beach-will-work-with-bad-credit-br/7486859975.html,"1,750"
62,2022-05-22 07:46," (Glenway Dr Inglewood, CA)",Come home to a lifestyle of comfort !,3,,https://losangeles.craigslist.org/wst/apa/d/inglewood-come-home-to-lifestyle-of/7486849696.html,"3,250"
63,2022-05-22 07:46," (3740 Keystone Ave, Los Angeles, CA)","Rooftop BBQ Area, Stainless Steel Applicances, Central A/C and Heat",2,1000.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-rooftop-bbq-area-stainless/7478638543.html,"3,415"
64,2022-05-22 07:40, (Los Angeles),Great 1 bedroom 1 bath with parking,1,750.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-great-bedroom-bath-with/7483032231.html,"2,395"
65,2022-05-22 07:25," (1447 Lincoln Boulevard, Santa Monica, CA)","Stainless Steel Appliances, Seating Areas, Online Payments Available",1,375.0,https://losangeles.craigslist.org/wst/apa/d/santa-monica-stainless-steel-appliances/7485034988.html,"2,318"
66,2022-05-22 07:07," (West Los Angeles, CA)","West La Upper unit ,One Bedroom ALL NEW",1,650.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-west-la-upper-unit-one/7484907015.html,"2,495"
67,2022-05-22 07:05," (1502 Broadway, Santa Monica, CA)","Electrolux dishwasher, Hardwood-inspired floors, Elevator access",1,770.0,https://losangeles.craigslist.org/wst/apa/d/santa-monica-electrolux-dishwasher/7484037963.html,"3,599"
68,2022-05-22 07:00," (Westwood 90024/UCLA, Brentwood, West LA, Beverly Hills)","Westwood 3 Bed / 3 Bath w/ Fireplace, Balcony, Kitchen Appliances",3,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-westwood-bed-bath-fireplace/7475215260.html,"4,725"
69,2022-05-22 06:54," (Westwood 90024/UCLA, Brentwood, West LA, Beverly Hills)",Westwood 2 Bed / 2 Bath w/ Parking/Wood/Carpet Close to Everything!,2,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-westwood-bed-bath-parking/7476030939.html,"3,575"
70,2022-05-22 06:54, (Westwood 90024 Near UCLA),Westwood 1 Bed / 1 Bath w/ Parking near UCLA w/ Laminate Floors,1,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-westwood-bed-bath-parking/7476030756.html,"2,650"
71,2022-05-22 06:48," (Westwood 90024/UCLA, Brentwood, West LA, Beverly Hills)",Top Floor 3 Bed / 3 Bath Westwood Penthouse Apt w/ Parking!,3,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-top-floor-bed-bath-westwood/7476030544.html,"5,100"
72,2022-05-22 06:45," (11090 Strathmore Dr, Los Angeles, CA)","Bicycle Rack, Next door to UCLA, Close to Beaches - Ocean Breezes",1,450.0,https://losangeles.craigslist.org/wst/apa/d/los-angeles-bicycle-rack-next-door-to/7479939741.html,"2,315"
73,2022-05-22 06:42, (Westwood 90024),1 Bed / 1 Bath Apartment In Westwood Available Now Close To Everything,1,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-bed-bath-apartment-in/7476880305.html,"2,495"
74,2022-05-22 06:36, (Westwood 90024 Near UCLA),Top Floor 2 Bed 2 Bath Penthouse Loft w/ Large Living Room,2,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-top-floor-bed-bath/7476866124.html,"4,750"
75,2022-05-22 06:32, (Westwood 90024),Westwood 2 Bed / 2 Bath Apartment w/ Laminate Wood Floors,2,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-westwood-bed-bath-apartment/7476865634.html,"3,650"
76,2022-05-22 06:24," (Westwood Near Brentwood, UCLA, West LA, Beverly Hills)",1 Bed 1 Bath+Washer/Dryer. Westwood+UCLA Available This School Year!,1,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-bed-bathwasher-dryer/7477716170.html,"3,150"
77,2022-05-22 06:24, (Westwood 90024/UCLA),Top floor 2 bed 2 bath penthoouse w/ washer/dryer! Walk to UCLA!,2,,https://losangeles.craigslist.org/wst/apa/d/los-angeles-top-floor-bed-bath/7477716016.html,"4,500"
